0.0 1 3413037
0.0 2 3074937
0.0 4 4750231
0.0 6 5774227
0.0 8 4888364
0.0 10 4451388
0.0 12 4265643
0.0 14 3965490
0.0 16 3870178
0.0 18 3735138
0.0 20 3549614
0.0 22 3274335
0.0 24 3415908
0.0 26 3114426
0.0 28 3322580
0.0 30 3173883
0.0 32 3123567
0.0 34 3192799
0.0 36 3125147
0.0 38 3114809
0.0 40 3177189
0.0 42 3269388
0.0 44 3323107
0.0 46 3302223
0.0 48 3288447

0.1 1 2949210
0.1 2 2731096
0.1 4 4311946
0.1 6 5439167
0.1 8 4471991
0.1 10 4533495
0.1 12 4476588
0.1 14 3895117
0.1 16 3822186
0.1 18 3851564
0.1 20 3595953
0.1 22 3412638
0.1 24 3427280
0.1 26 3310155
0.1 28 3098960
0.1 30 3174303
0.1 32 3164399
0.1 34 3179926
0.1 36 3162778
0.1 38 3127190
0.1 40 3245947
0.1 42 3106232
0.1 44 3245146
0.1 46 3183911
0.1 48 3305407

0.2 1 2942928
0.2 2 2736903
0.2 4 4329892
0.2 6 5445339
0.2 8 4958625
0.2 10 4807634
0.2 12 4345546
0.2 14 3852592
0.2 16 3847628
0.2 18 3787157
0.2 20 3434115
0.2 22 3446777
0.2 24 3176183
0.2 26 3270240
0.2 28 2900283
0.2 30 3233882
0.2 32 3182139
0.2 34 3266991
0.2 36 3095103
0.2 38 3147112
0.2 40 3141276
0.2 42 3202763
0.2 44 3207393
0.2 46 3287395
0.2 48 3266741

0.3 1 2927811
0.3 2 2775721
0.3 4 4378155
0.3 6 5438093
0.3 8 4802506
0.3 10 4596622
0.3 12 4365018
0.3 14 3867820
0.3 16 3787373
0.3 18 3832577
0.3 20 3512900
0.3 22 3469865
0.3 24 3351309
0.3 26 3315595
0.3 28 3252747
0.3 30 2762634
0.3 32 3333294
0.3 34 3224593
0.3 36 3214991
0.3 38 3102661
0.3 40 3207298
0.3 42 3165993
0.3 44 3267923
0.3 46 3312632
0.3 48 3227717

0.4 1 2899582
0.4 2 2839956
0.4 4 4474657
0.4 6 5549354
0.4 8 4601819
0.4 10 4631554
0.4 12 4378991
0.4 14 3828030
0.4 16 3936046
0.4 18 3789722
0.4 20 3600932
0.4 22 3404918
0.4 24 3439466
0.4 26 3355803
0.4 28 3026095
0.4 30 3130961
0.4 32 3213239
0.4 34 3342503
0.4 36 3145636
0.4 38 3132948
0.4 40 3279089
0.4 42 3165569
0.4 44 3271364
0.4 46 3323317
0.4 48 3272180

0.5 1 2910423
0.5 2 2910521
0.5 4 4586332
0.5 6 5606791
0.5 8 4572173
0.5 10 4610260
0.5 12 4431756
0.5 14 4088034
0.5 16 3813840
0.5 18 3736325
0.5 20 3471407
0.5 22 3499130
0.5 24 3401910
0.5 26 3230228
0.5 28 3070095
0.5 30 3015729
0.5 32 3189643
0.5 34 3194752
0.5 36 3250017
0.5 38 3148672
0.5 40 3250140
0.5 42 3173054
0.5 44 3391669
0.5 46 3365957
0.5 48 3399063

0.6 1 2914697
0.6 2 3030792
0.6 4 4767771
0.6 6 5744548
0.6 8 5114419
0.6 10 4628551
0.6 12 4397488
0.6 14 3881308
0.6 16 3897269
0.6 18 3830066
0.6 20 3482733
0.6 22 3464170
0.6 24 3426485
0.6 26 3217755
0.6 28 3410014
0.6 30 3093188
0.6 32 3295903
0.6 34 3121300
0.6 36 3101389
0.6 38 3068923
0.6 40 3250995
0.6 42 3394755
0.6 44 3354146
0.6 46 3357627
0.6 48 3426658

0.7 1 2925015
0.7 2 3170568
0.7 4 4984621
0.7 6 5818159
0.7 8 4990587
0.7 10 4556250
0.7 12 4403842
0.7 14 3882362
0.7 16 3866956
0.7 18 3834146
0.7 20 3589188
0.7 22 3431197
0.7 24 3462373
0.7 26 3288982
0.7 28 3301257
0.7 30 3264891
0.7 32 3180174
0.7 34 3200582
0.7 36 3284386
0.7 38 3169067
0.7 40 3241833
0.7 42 3345737
0.7 44 3426053
0.7 46 3488294
0.7 48 3416501

0.8 1 2938318
0.8 2 3384626
0.8 4 5312021
0.8 6 5872283
0.8 8 4763554
0.8 10 4443487
0.8 12 4301059
0.8 14 3833113
0.8 16 3854924
0.8 18 3748466
0.8 20 3519524
0.8 22 3554590
0.8 24 3453293
0.8 26 3417387
0.8 28 3245453
0.8 30 3173813
0.8 32 3231783
0.8 34 3238844
0.8 36 3155031
0.8 38 3265053
0.8 40 3291988
0.8 42 3341334
0.8 44 3532397
0.8 46 3447844
0.8 48 3423681

0.9 1 2954929
0.9 2 3610906
0.9 4 5693225
0.9 6 5946819
0.9 8 4890419
0.9 10 4396236
0.9 12 4275480
0.9 14 3859058
0.9 16 3869563
0.9 18 3774261
0.9 20 3471396
0.9 22 3465219
0.9 24 3431247
0.9 26 3210441
0.9 28 3387804
0.9 30 3302078
0.9 32 3351963
0.9 34 3196958
0.9 36 3174132
0.9 38 3255985
0.9 40 3318211
0.9 42 3495392
0.9 44 3485734
0.9 46 3637605
0.9 48 3583756

1.0 1 2934327
1.0 2 3864423
1.0 4 5478269
1.0 6 6081870
1.0 8 4723816
1.0 10 4249764
1.0 12 4214024
1.0 14 3832307
1.0 16 3802234
1.0 18 3876281
1.0 20 3653542
1.0 22 3514147
1.0 24 3545950
1.0 26 3404654
1.0 28 3339832
1.0 30 3290767
1.0 32 3365266
1.0 34 3207847
1.0 36 3130949
1.0 38 3155628
1.0 40 3370583
1.0 42 3341812
1.0 44 3430781
1.0 46 3636233
1.0 48 3488927

