global	1  	5373107.6000
global	2  	10127948.200
global	4  	20509643.800
global	6  	25100921.800
global	8  	35376920.200
global	10 	42838106.400
global	12 	50698966.400
global	14 	49745221.800
global	16 	54013801.200
global	18 	54049270.400
global	20 	56086664.400
global	22 	54440812.800
global	24 	55180518.800
global	26 	55762638.400
global	28 	56304946.000
global	30 	54193922.400
global	32 	55282261.400
global	34 	55166999.400
global	36 	56075454.000
global	38 	53980741.400
global	40 	54511573.200
global	42 	54409948.800
global	44 	54392497.400
global	46 	52388322.800
global	48 	51788507.250
