thread	1  	5205928.8000
thread	2  	10040120.800
thread	4  	20945737.000
thread	6  	25575166.600
thread	8  	37468956.800
thread	10 	47443419.600
thread	12 	59942021.600
thread	14 	57354640.200
thread	16 	73718036.600
thread	18 	81615528.000
thread	20 	97659511.000
thread	22 	89188980.600
thread	24 	109046418.80
thread	26 	116437771.40
thread	28 	133279112.40
thread	30 	118829182.40
thread	32 	140363624.00
thread	34 	149341950.40
thread	36 	165799422.00
thread	38 	149449637.40
thread	40 	167805612.20
thread	42 	179121481.00
thread	44 	196402052.40
thread	46 	176222647.00
thread	48 	194223800.00
